time_s,measured_signed_tangent_speed_mps,inferred_local_path_curvature_per_m,commanded_speed_mps,commanded_curvature_speed_rate_radps,inferred_measured_speed_geometric_rate_radps,quaternion_euler_yaw_unwrapped_rad,quaternion_euler_yaw_rate_radps,measured_body_wz_radps,euler_yaw_rate_minus_geometric_radps,body_wz_minus_geometric_radps,euler_yaw_rate_minus_commanded_radps,body_wz_minus_commanded_radps,body_wz_minus_euler_yaw_rate_radps,tangent_yaw_error_deg,tilt_deg
1.96,0.853580200181694,1.3333020415821428,1.0,1.3333020415821428,1.1380802235563467,1.7872890749310268,1.0803379246429188,1.0990740857744155,-0.05774229891342797,-0.039006137781931294,-0.25296411693922405,-0.23422795580772737,0.018736161131496676,-12.289507304288367,6.901520493818372
1.98,0.8487572308441254,1.3333137727144442,1.0,1.3333137727144442,1.1316597055754452,1.8081491226659578,0.9958790570368805,1.0202314089887723,-0.13578064853856464,-0.11142829658667286,-0.33743471567756367,-0.3130823637256719,0.024352351951891782,-12.758667555318812,6.085904941371159
2.0,0.8449087120262948,1.3330895587991578,1.0,1.3330895587991578,1.126338982140698,1.827124237212502,0.9949833196287585,1.0312223140277827,-0.13135566251193942,-0.09511666811291519,-0.3381062391703993,-0.30186724477137505,0.03623899439902423,-12.506316559825704,5.369670575629299
2.02,0.8434642788645144,1.333031381007684,1.0,1.333031381007684,1.1243643524854139,1.847948455451108,1.0411098669680001,1.0491023943355497,-0.08325448551741377,-0.07526195814986414,-0.2919215140396838,-0.2839289866721342,0.007992527367549629,-12.98824887722801,5.229388938081101
2.04,0.8417800151921785,1.332902650122253,1.0,1.332902650122253,1.1220108130696052,1.868768631891222,1.0867776608788304,1.0854376004497648,-0.03523315219077472,-0.03657321261984037,-0.24612498924342252,-0.24746504967248817,-0.0013400604290656482,-13.477252357133713,5.1400918905090505
2.06,0.8398470995493066,1.3337607436784558,1.0,1.3337607436784558,1.1201550920710772,1.8914195618862615,1.1346978739721578,1.1363075029711722,0.014542781901080604,0.016152410900095004,-0.19906286970629794,-0.19745324070728354,0.0016096289990144008,-13.022623037717816,4.941108024041046
2.08,0.8370204281777603,1.3338066898593537,1.0,1.3338066898593537,1.1164234466524374,1.9141565468501085,1.0763725843238632,1.1141147490257846,-0.040050862328574244,-0.002308697626652867,-0.2574341055354905,-0.21969194083356913,0.03774216470192138,-13.411657877731123,5.430589935647601
2.1,0.8368180833742301,1.3333427306875987,1.0,1.3333427306875987,1.1157653083749586,1.934474465259216,1.014721799560995,1.0422356026543536,-0.10104350881396362,-0.07352970572060502,-0.3186209311266037,-0.2911071280332451,0.027513803093358602,-13.096152197000777,6.165344901749588
2.12,0.8402641568448314,1.3335750762491823,1.0,1.3335750762491823,1.1205553370338008,1.9547454188325482,1.0377251824443192,1.0612921750871196,-0.08283015458948162,-0.05926316194668124,-0.29584989380486304,-0.27228290116206266,0.023566992642800377,-13.635785035015132,6.856864573707198
2.14,0.8455875688253832,1.3336725779202558,1.0,1.3336725779202558,1.1277369527726706,1.975983472556989,1.064557156511924,1.0742199798687793,-0.06317979626074655,-0.05351697290389135,-0.2691154214083318,-0.2594525980514766,0.009662823356855199,-13.272080529958286,7.123980896249789
