step,t,k,x,y,z,vx,vy,vz
7,0.350000000,3,0.141570330,-0.037453175,1.104380727,0.801099539,-0.166622609,-0.102264158
7,0.350000000,4,0.157636076,-0.040479772,1.102417946,0.804617286,-0.135399595,-0.094016448
7,0.350000000,5,0.173731029,-0.042857014,1.100659251,0.804383516,-0.102195099,-0.081854202
7,0.350000000,6,0.189795479,-0.044567578,1.099067807,0.801759183,-0.068996333,-0.077292070
7,0.350000000,7,0.205794528,-0.045627911,1.097542763,0.798067033,-0.037444811,-0.075214073
7,0.350000000,8,0.221718788,-0.046085946,1.096078157,0.794427156,-0.008962554,-0.071250409
7,0.350000000,9,0.237575695,-0.046012171,1.094739318,0.791359603,0.015677921,-0.062630579
7,0.350000000,10,0.253375441,-0.045483302,1.093634367,0.788581669,0.036683243,-0.047864143
7,0.350000000,11,0.269114047,-0.044561177,1.092784762,0.785085797,0.055192892,-0.037107229
7,0.350000000,12,0.284770280,-0.043287262,1.092084527,0.780333757,0.071895652,-0.032915350
7,0.350000000,13,0.300321013,-0.041698404,1.091465116,0.774597824,0.086643696,-0.029026143
7,0.350000000,14,0.315749556,-0.039835524,1.090921402,0.768142641,0.099286802,-0.025342410
7,0.350000000,15,0.331042856,-0.037740942,1.090449333,0.761087418,0.109821908,-0.021859663
7,0.350000000,16,0.346189469,-0.035456147,1.090045094,0.753479600,0.118324876,-0.018573038
7,0.350000000,17,0.361178547,-0.033020664,1.089704633,0.745334327,0.124912277,-0.015477558
7,0.350000000,18,0.375999361,-0.030471457,1.089424133,0.736654222,0.129721612,-0.012567952
7,0.350000000,19,0.390641212,-0.027842613,1.089200020,0.727438033,0.132901892,-0.009838739
7,0.350000000,20,0.405093342,-0.025165150,1.089028716,0.717682302,0.134610772,-0.007284338
7,0.350000000,21,0.419344872,-0.022466831,1.088906884,0.707377195,0.135017335,-0.004898878
7,0.350000000,22,0.433384657,-0.019771848,1.088831067,0.696495235,0.134311974,-0.002676447
7,0.350000000,23,0.447201669,-0.017101370,1.088852286,0.685203075,0.132495061,0.004802235
7,0.350000000,24,0.460794985,-0.014483120,1.088906884,0.674125373,0.129115328,0.000657822
8,0.400000000,0,0.134286284,-0.036359750,1.108228445,0.827554166,-0.219778523,-0.018896919
8,0.400000000,1,0.151051953,-0.040905632,1.107641459,0.841009498,-0.240305677,-0.039806306
8,0.400000000,2,0.167436078,-0.046401434,1.106927633,0.784276426,-0.324863672,-0.031577509
8,0.400000000,3,0.181963161,-0.054665305,1.106548071,0.658696353,-0.523322582,-0.006379811
8,0.400000000,4,0.193488747,-0.068233646,1.106627941,0.488361031,-0.856395602,0.014358975
8,0.400000000,5,0.201355100,-0.089782864,1.107091546,0.296154320,-1.318957806,0.031994961
8,0.400000000,6,0.205303386,-0.121711895,1.107878685,0.098854981,-1.889973640,0.046717279
8,0.400000000,7,0.205349296,-0.165906951,1.108949780,-0.092671528,-2.540254831,0.060392711
8,0.400000000,8,0.201678395,-0.223631918,1.110260367,-0.272015572,-3.237464428,0.070665874
8,0.400000000,9,0.194574133,-0.295502901,1.111750603,-0.435571045,-3.949596643,0.078350604
8,0.400000000,10,0.184372529,-0.381515354,1.113369465,-0.581561267,-4.646826267,0.083532237
8,0.400000000,11,0.171432734,-0.481099039,1.115069747,-0.709342182,-5.302523613,0.086503327
8,0.400000000,12,0.156120047,-0.593187153,1.116811514,-0.818868041,-5.893696785,0.087675266
8,0.400000000,13,0.138797835,-0.716290295,1.118561029,-0.910334527,-6.401084900,0.087286003
8,0.400000000,14,0.119824864,-0.848570764,1.120289207,-0.983979702,-6.809091091,0.085536554
8,0.400000000,15,0.099555664,-0.987914145,1.121970057,-1.039977908,-7.105622768,0.082545996
8,0.400000000,16,0.078342326,-1.131997705,1.123579860,-1.078392148,-7.281888485,0.078432702
8,0.400000000,17,0.056536995,-1.278354049,1.125097394,-1.099152207,-7.332177162,0.073321454
8,0.400000000,18,0.034494635,-1.424430490,1.126504064,-1.102046013,-7.253649235,0.067349993
8,0.400000000,19,0.012575886,-1.567644715,1.127784133,-1.086717844,-7.046163082,0.060668819
8,0.400000000,20,-0.008850124,-1.705438256,1.128925323,-1.052678943,-6.712198734,0.053440809
8,0.400000000,21,-0.029403454,-1.835328460,1.129918098,-0.999347031,-6.256955624,0.045840397
8,0.400000000,22,-0.048692435,-1.954967380,1.130757093,-0.926161528,-5.688797474,0.038052071
8,0.400000000,23,-0.066316575,-2.062214375,1.131440282,-0.832873404,-5.020374775,0.030267891
8,0.400000000,24,-0.081877686,-2.155245066,1.132016420,-0.720027030,-4.271267414,0.027350290
9,0.450000000,0,0.177258134,-0.048112176,1.107895732,0.872127533,-0.250442475,0.004814693
9,0.450000000,1,0.194465697,-0.053430598,1.107314348,0.834220946,-0.292494267,-0.062946424
9,0.450000000,2,0.209745944,-0.060573328,1.105993629,0.671193480,-0.444930464,-0.069125965
9,0.450000000,3,0.220593572,-0.072174266,1.104752779,0.400668740,-0.738604784,-0.054965839
9,0.450000000,4,0.225499332,-0.090962030,1.103781104,0.087989040,-1.159321427,-0.042196602
9,0.450000000,5,0.224211901,-0.119185202,1.103063464,-0.210874453,-1.676435232,-0.029571380
9,0.450000000,6,0.217398450,-0.158429459,1.102584958,-0.460188597,-2.255690575,-0.018281449
9,0.450000000,7,0.206256494,-0.209606141,1.102314949,-0.641854286,-2.864411354,-0.008720432
9,0.450000000,8,0.192212328,-0.273005068,1.102216482,-0.750224054,-3.473286390,-0.001133641
9,0.450000000,9,0.176719919,-0.348368406,1.102249384,-0.787500441,-4.056881428,0.004418094
9,0.450000000,10,0.161139458,-0.434968770,1.102373600,-0.760404944,-4.593680859,0.008001049
9,0.450000000,11,0.146670476,-0.531686723,1.102551460,-0.677986026,-5.065949917,0.009792502
9,0.450000000,12,0.134320229,-0.637084126,1.102753282,-0.550244391,-5.459518433,0.010391915
9,0.450000000,13,0.124893993,-0.749472737,1.102960348,-0.387257308,-5.763484955,0.010318665
9,0.450000000,14,0.118999295,-0.866976440,1.103160620,-0.198661700,-5.969923019,0.009707216
9,0.450000000,15,0.117057569,-0.987588286,1.103344679,0.006597813,-6.073640347,0.008691423
9,0.450000000,16,0.119319379,-1.109223008,1.103505611,0.220394015,-6.071950436,0.007404581
9,0.450000000,17,0.125881478,-1.229764700,1.103639364,0.435478657,-5.964449406,0.005973382
9,0.450000000,18,0.136704654,-1.347110629,1.103744149,0.645509839,-5.752819061,0.004506673
9,0.450000000,19,0.151632071,-1.459211111,1.103820086,0.845066071,-5.440668106,0.003090172
9,0.450000000,20,0.170407742,-1.564107299,1.103868842,1.029659152,-5.033457279,0.001786517
9,0.450000000,21,0.192695454,-1.659968138,1.103893042,1.195755959,-4.538563251,0.000635827
9,0.450000000,22,0.218098104,-1.745132089,1.103896022,1.340809584,-3.965616226,-0.000344272
9,0.450000000,23,0.246177837,-1.818158984,1.103881001,1.463294864,-3.327349186,-0.001158956
9,0.450000000,24,0.276476234,-1.877908945,1.103867173,1.562639475,-2.641524553,-0.000226463
10,0.500000000,0,0.219657287,-0.062111832,1.108876824,0.812485993,-0.309171498,0.030054346
10,0.500000000,1,0.235374570,-0.068631731,1.108766198,0.750150681,-0.349058837,-0.041105770
10,0.500000000,2,0.249115780,-0.076525621,1.107750773,0.610727131,-0.454702467,-0.060438909
10,0.500000000,3,0.259439081,-0.087433934,1.106680512,0.417215645,-0.651823223,-0.046585478
10,0.500000000,4,0.265838921,-0.103179738,1.105938315,0.228067949,-0.936298788,-0.027635505
10,0.500000000,5,0.268917561,-0.125350669,1.105568647,0.091503203,-1.290904284,-0.009336986
10,0.500000000,6,0.270032763,-0.155136928,1.105523825,0.034649111,-1.694056630,0.004847666
10,0.500000000,7,0.270896405,-0.193285793,1.105708361,0.066744201,-2.123447418,0.013606659
10,0.500000000,8,0.273275763,-0.240106806,1.106042624,0.185073897,-2.557819366,0.019817065
10,0.500000000,9,0.278807580,-0.295501709,1.106488347,0.379977971,-2.977737904,0.024746915
10,0.500000000,10,0.288893908,-0.359005809,1.107025385,0.638080001,-3.366047382,0.028952014
10,0.500000000,11,0.304649532,-0.429836303,1.107642293,0.944303393,-3.708125830,0.032739334
10,0.500000000,12,0.326881796,-0.506944001,1.108320236,1.283152938,-3.991966009,0.035050467
10,0.500000000,13,0.356091708,-0.589066386,1.109032035,1.639603376,-4.208238125,0.036139555
10,0.500000000,14,0.392488509,-0.674780130,1.109755278,1.999556303,-4.350164413,0.036186878
10,0.500000000,15,0.436010808,-0.762550473,1.110470414,2.350077868,-4.413335323,0.035329111
10,0.500000000,16,0.486351371,-0.850776494,1.111160636,2.679528475,-4.395520687,0.033701725
10,0.500000000,17,0.542983532,-0.937832713,1.111811996,2.977625132,-4.296477318,0.031438593
10,0.500000000,18,0.605189025,-1.022107482,1.112413168,3.235470533,-4.117775917,0.028671231
10,0.500000000,19,0.672085464,-1.102037191,1.112955093,3.445576191,-3.862657547,0.025526050
10,0.500000000,20,0.742655158,-1.176139116,1.113431692,3.601906061,-3.535953522,0.022123707
10,0.500000000,21,0.815775037,-1.243043542,1.113838792,3.699976206,-3.144113064,0.018578602
10,0.500000000,22,0.890249372,-1.301526904,1.114174604,3.737063408,-2.695436239,0.014998115
10,0.500000000,23,0.964848876,-1.350555062,1.114439845,3.712621927,-2.200690508,0.011525021
10,0.500000000,24,1.038361549,-1.389344811,1.114647508,3.629122257,-1.674505234,0.009242242
11,0.550000000,0,0.257050991,-0.079394139,1.109978557,0.685608208,-0.376040131,0.013323590
11,0.550000000,1,0.270082533,-0.087138623,1.109698057,0.612976074,-0.399524361,-0.041364823
11,0.550000000,2,0.281312406,-0.095501669,1.108656049,0.505279660,-0.442384630,-0.062833384
11,0.550000000,3,0.290267229,-0.105143823,1.107471704,0.394067675,-0.531250656,-0.055597559
11,0.550000000,4,0.297406942,-0.117156968,1.106542349,0.332052082,-0.680794954,-0.037339702
11,0.550000000,5,0.304141968,-0.132793665,1.105946541,0.358418137,-0.893089294,-0.022237474
11,0.550000000,6,0.312452614,-0.153249711,1.105625153,0.491019189,-1.160886407,-0.009906095
11,0.550000000,7,0.324494213,-0.179507405,1.105541706,0.730537772,-1.470602393,0.001555914
11,0.550000000,8,0.342314988,-0.212239712,1.105651736,1.066548824,-1.805403709,0.009441762
11,0.550000000,9,0.367686391,-0.251774162,1.105899215,1.482487202,-2.147932529,0.015304780
11,0.550000000,10,0.402014047,-0.298098266,1.106253862,1.958724856,-2.481707335,0.020156354
11,0.550000000,11,0.446297139,-0.350885123,1.106701732,2.474514484,-2.791852474,0.024631085
11,0.550000000,12,0.501119435,-0.409529716,1.107235909,3.009230137,-3.065489769,0.028789317
